3/19/18 12:53 AM
Project Statistics

                 	Segments	Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	   17836	96538	                     590972	                       660905	   618	
Remaining:       	   17835	96536	                     590956	                       660888	   618	
Unique:          	   12260	63836	                     336719	                       386513	   575	
Unique Remaining:	   12259	63834	                     336703	                       386496	   575	


Individual File Statistics:

File Name                             	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
[freezedesc]-zh_Hans.po               	             5	                 5	              3	                        3	         42	             42	           8	                     8	                              345	                                  345	                                33	                                          33	                                371	                                    371	                                  38	                                            38	
[fx]-zh_Hans.po                       	            40	                40	             30	                       30	        178	            178	         131	                   131	                             1082	                                 1082	                               699	                                         699	                               1209	                                   1209	                                 800	                                           800	
[fxadd]-zh_Hans.po                    	            69	                69	             48	                       48	        285	            285	         193	                   193	                             1602	                                 1602	                               967	                                         967	                               1798	                                   1798	                                1103	                                          1103	
[fxmenu]-zh_Hans.po                   	            29	                29	             16	                       16	        104	            104	          40	                    40	                              714	                                  714	                               234	                                         234	                                776	                                    776	                                 257	                                           257	
[glue]-zh_Hans.po                     	            28	                28	             21	                       21	        112	            112	          68	                    68	                              723	                                  723	                               348	                                         348	                                794	                                    794	                                 393	                                           393	
[gridsnap]-zh_Hans.po                 	            10	                10	              6	                        6	         54	             54	          18	                    18	                              420	                                  420	                                97	                                          97	                                451	                                    451	                                 107	                                           107	
[group]-zh_Hans.po                    	             7	                 7	              3	                        3	         48	             48	          11	                    11	                              388	                                  388	                                60	                                          60	                                418	                                    418	                                  68	                                            68	
[grouping]-zh_Hans.po                 	            15	                15	              7	                        7	         52	             52	          12	                    12	                              368	                                  368	                                32	                                          32	                                394	                                    394	                                  37	                                            37	
[help]-zh_Hans.po                     	            31	                31	             24	                       24	         83	             83	          37	                    37	                              569	                                  569	                               194	                                         194	                                610	                                    610	                                 208	                                           208	
[import]-zh_Hans.po                   	            29	                29	             22	                       22	        215	            215	         157	                   157	                             1226	                                 1226	                               790	                                         790	                               1394	                                   1394	                                 918	                                           918	
[item]-zh_Hans.po                     	            28	                28	             14	                       14	         74	             74	          27	                    27	                              508	                                  508	                               136	                                         136	                                545	                                    545	                                 151	                                           151	
[itemchan]-zh_Hans.po                 	            10	                10	              6	                        6	         51	             51	          15	                    15	                              390	                                  390	                                63	                                          63	                                418	                                    418	                                  70	                                            70	
[itemfn]-zh_Hans.po                   	             6	                 6	              3	                        3	         38	             38	           3	                     3	                              334	                                  334	                                16	                                          16	                                355	                                    355	                                  16	                                            16	
[itemimport]-zh_Hans.po               	             6	                 6	              3	                        3	         48	             48	          14	                    14	                              380	                                  380	                                67	                                          67	                                412	                                    412	                                  78	                                            78	
[itemprop]-zh_Hans.po                 	            34	                34	             19	                       19	        168	            168	          97	                    97	                             1042	                                 1042	                               503	                                         503	                               1160	                                   1160	                                 576	                                           576	
[joystick]-zh_Hans.po                 	             9	                 9	              5	                        5	         53	             53	          14	                    14	                              424	                                  424	                                87	                                          87	                                456	                                    456	                                  95	                                            95	
[jsfx]-zh_Hans.po                     	            21	                21	             14	                       14	         90	             90	          44	                    44	                              518	                                  518	                               141	                                         141	                                574	                                    574	                                 165	                                           165	
[jsfx_DLG_102]-zh_Hans.po             	             6	                 6	              2	                        2	         44	             44	           8	                     8	                              369	                                  369	                                49	                                          49	                                394	                                    394	                                  53	                                            53	
[jsfx_DLG_103]-zh_Hans.po             	            18	                18	              2	                        2	         60	             60	           6	                     6	                              437	                                  437	                                26	                                          26	                                466	                                    466	                                  28	                                            28	
[jsfx_DLG_104]-zh_Hans.po             	             8	                 8	              5	                        5	         42	             42	           6	                     6	                              380	                                  380	                                48	                                          48	                                405	                                    405	                                  51	                                            51	
[jsfx_DLG_105]-zh_Hans.po             	            17	                17	              1	                        1	         56	             56	           2	                     2	                              423	                                  423	                                12	                                          12	                                451	                                    451	                                  13	                                            13	
[jsfx_DLG_111]-zh_Hans.po             	             4	                 4	              1	                        1	         37	             37	           2	                     2	                              325	                                  325	                                 6	                                           6	                                347	                                    347	                                   7	                                             7	
[jsfx_DLG_112]-zh_Hans.po             	            18	                18	             12	                       12	         51	             51	          13	                    13	                              367	                                  367	                                39	                                          39	                                389	                                    389	                                  40	                                            40	
[jsfx_DLG_113]-zh_Hans.po             	             5	                 5	              1	                        1	         37	             37	           1	                     1	                              328	                                  328	                                 7	                                           7	                                349	                                    349	                                   7	                                             7	
[jsfx_DLG_114]-zh_Hans.po             	             8	                 8	              5	                        5	         48	             48	          13	                    13	                              402	                                  402	                                85	                                          85	                                430	                                    430	                                  92	                                            92	
[jsfx_DLG_115]-zh_Hans.po             	             3	                 3	              0	                        0	         35	             35	           0	                     0	                              317	                                  317	                                 0	                                           0	                                338	                                    338	                                   0	                                             0	
[jsfx_ide]-zh_Hans.po                 	             9	                 9	              5	                        5	         68	             68	          32	                    32	                              469	                                  469	                               148	                                         148	                                509	                                    509	                                 167	                                           167	
[jsfx_MENU_102]-zh_Hans.po            	            11	                11	              4	                        4	         48	             48	           9	                     9	                              401	                                  401	                                61	                                          61	                                424	                                    424	                                  63	                                            63	
[jsfx_MENU_104]-zh_Hans.po            	            29	                29	              0	                        0	         96	             96	           0	                     0	                              620	                                  620	                                 0	                                           0	                                676	                                    676	                                   0	                                             0	
[knob]-zh_Hans.po                     	             3	                 3	              1	                        1	         35	             35	           1	                     1	                              315	                                  315	                                 3	                                           3	                                336	                                    336	                                   3	                                             3	
[lfo]-zh_Hans.po                      	             7	                 7	              2	                        2	         39	             39	           2	                     2	                              343	                                  343	                                13	                                          13	                                364	                                    364	                                  13	                                            13	
[lyrics]-zh_Hans.po                   	            12	                12	             10	                       10	         70	             70	          36	                    36	                              501	                                  501	                               189	                                         189	                                548	                                    548	                                 215	                                           215	
[marker]-zh_Hans.po                   	             9	                 9	              7	                        7	         72	             72	          38	                    38	                              508	                                  508	                               196	                                         196	                                559	                                    559	                                 226	                                           226	
[mbox]-zh_Hans.po                     	           240	               240	            206	                      206	       1464	           1464	        1320	                  1320	                             7923	                                 7923	                              6977	                                        6977	                               9068	                                   9068	                                8026	                                          8026	
[menu]-zh_Hans.po                     	            60	                60	             44	                       44	        188	            188	         134	                   134	                             1150	                                 1150	                               742	                                         742	                               1269	                                   1269	                                 833	                                           833	
[MENU_102]-zh_Hans.po                 	           474	               474	            147	                      147	       1794	           1794	         576	                   576	                            10088	                                10088	                              3309	                                        3309	                              11341	                                  11341	                                3706	                                          3706	
[MENU_136]-zh_Hans.po                 	            28	                28	             23	                       23	        157	            157	         119	                   119	                              890	                                  890	                               557	                                         557	                               1005	                                   1005	                                 650	                                           650	
[MENU_144]-zh_Hans.po                 	            63	                63	             14	                       14	        294	            294	          49	                    49	                             1586	                                 1586	                               233	                                         233	                               1778	                                   1778	                                 263	                                           263	
[MENU_175]-zh_Hans.po                 	            50	                50	              4	                        4	        151	            151	          10	                    10	                              900	                                  900	                                44	                                          44	                                989	                                    989	                                  48	                                            48	
[MENU_300]-zh_Hans.po                 	           109	               109	              7	                        7	        402	            402	          30	                    30	                             2331	                                 2331	                               183	                                         183	                               2601	                                   2601	                                 205	                                           205	
[MENU_301]-zh_Hans.po                 	           265	               265	            138	                      138	        959	            959	         365	                   365	                             4467	                                 4467	                              1304	                                        1304	                               5078	                                   5078	                                1466	                                          1466	
[MENU_302]-zh_Hans.po                 	            43	                43	             18	                       18	        212	            212	          85	                    85	                             1373	                                 1373	                               485	                                         485	                               1526	                                   1526	                                 551	                                           551	
[MENU_303]-zh_Hans.po                 	            11	                11	              3	                        3	         65	             65	           7	                     7	                              499	                                  499	                                49	                                          49	                                542	                                    542	                                  53	                                            53	
[MENU_304]-zh_Hans.po                 	            55	                55	              5	                        5	        212	            212	          12	                    12	                             1360	                                 1360	                                76	                                          76	                               1503	                                   1503	                                  83	                                            83	
[MENU_305]-zh_Hans.po                 	            53	                53	              5	                        5	        206	            206	          14	                    14	                             1322	                                 1322	                                85	                                          85	                               1461	                                   1461	                                  94	                                            94	
[MENU_306]-zh_Hans.po                 	            13	                13	              6	                        6	        105	            105	          39	                    39	                              734	                                  734	                               230	                                         230	                                814	                                    814	                                 262	                                           262	
[MENU_307]-zh_Hans.po                 	             6	                 6	              1	                        1	         49	             49	           1	                     1	                              413	                                  413	                                17	                                          17	                                445	                                    445	                                  17	                                            17	
[MENU_308]-zh_Hans.po                 	            14	                14	              1	                        1	        121	            121	           1	                     1	                              809	                                  809	                                 7	                                           7	                                905	                                    905	                                   7	                                             7	
[MENU_309]-zh_Hans.po                 	             7	                 7	              5	                        5	         48	             48	          14	                    14	                              364	                                  364	                                52	                                          52	                                393	                                    393	                                  60	                                            60	
[MENU_310]-zh_Hans.po                 	            54	                54	              6	                        6	        277	            277	          26	                    26	                             1464	                                 1464	                               115	                                         115	                               1649	                                   1649	                                 135	                                           135	
[MENU_311]-zh_Hans.po                 	            14	                14	              1	                        1	         93	             93	           1	                     1	                              626	                                  626	                                13	                                          13	                                690	                                    690	                                  13	                                            13	
[MENU_312]-zh_Hans.po                 	            15	                15	             12	                       12	         81	             81	          46	                    46	                              551	                                  551	                               234	                                         234	                                606	                                    606	                                 268	                                           268	
[MENU_314]-zh_Hans.po                 	            19	                19	             10	                       10	         76	             76	          25	                    25	                              517	                                  517	                               132	                                         132	                                563	                                    563	                                 147	                                           147	
[MENU_315]-zh_Hans.po                 	            12	                12	              9	                        9	         69	             69	          33	                    33	                              509	                                  509	                               187	                                         187	                                548	                                    548	                                 204	                                           204	
[MENU_316]-zh_Hans.po                 	            60	                60	             19	                       19	        241	            241	          63	                    63	                             1502	                                 1502	                               354	                                         354	                               1662	                                   1662	                                 396	                                           396	
[MENU_317]-zh_Hans.po                 	             5	                 5	              2	                        2	         43	             43	           3	                     3	                              367	                                  367	                                26	                                          26	                                394	                                    394	                                  27	                                            27	
[MENU_318]-zh_Hans.po                 	             5	                 5	              3	                        3	         42	             42	           8	                     8	                              361	                                  361	                                49	                                          49	                                387	                                    387	                                  54	                                            54	
[MENU_319]-zh_Hans.po                 	            45	                45	              2	                        2	        144	            144	           5	                     5	                              880	                                  880	                                32	                                          32	                                969	                                    969	                                  35	                                            35	
[MENU_320]-zh_Hans.po                 	            10	                10	              2	                        2	         44	             44	           2	                     2	                              379	                                  379	                                20	                                          20	                                402	                                    402	                                  20	                                            20	
[MENU_321]-zh_Hans.po                 	            18	                18	             15	                       15	         83	             83	          44	                    44	                              576	                                  576	                               240	                                         240	                                630	                                    630	                                 269	                                           269	
[MENU_322]-zh_Hans.po                 	            18	                18	             13	                       13	         78	             78	          37	                    37	                              604	                                  604	                               252	                                         252	                                651	                                    651	                                 274	                                           274	
[MENU_323]-zh_Hans.po                 	             9	                 9	              2	                        2	         43	             43	           4	                     4	                              371	                                  371	                                26	                                          26	                                394	                                    394	                                  28	                                            28	
[MENU_324]-zh_Hans.po                 	             6	                 6	              4	                        4	         58	             58	          24	                    24	                              444	                                  444	                               132	                                         132	                                485	                                    485	                                 152	                                           152	
[MENU_325]-zh_Hans.po                 	            39	                39	             33	                       33	        150	            150	         108	                   108	                              930	                                  930	                               574	                                         574	                               1035	                                   1035	                                 654	                                           654	
[MENU_326]-zh_Hans.po                 	             7	                 7	              3	                        3	         45	             45	           7	                     7	                              391	                                  391	                                54	                                          54	                                418	                                    418	                                  58	                                            58	
[MENU_327]-zh_Hans.po                 	             5	                 5	              2	                        2	         41	             41	           5	                     5	                              360	                                  360	                                37	                                          37	                                385	                                    385	                                  40	                                            40	
[MENU_328]-zh_Hans.po                 	             9	                 9	              6	                        6	         59	             59	          22	                    22	                              432	                                  432	                               105	                                         105	                                471	                                    471	                                 121	                                           121	
[MENU_329]-zh_Hans.po                 	            44	                44	              3	                        3	        173	            173	          15	                    15	                             1062	                                 1062	                                90	                                          90	                               1176	                                   1176	                                 101	                                           101	
[MENU_330]-zh_Hans.po                 	             6	                 6	              1	                        1	         50	             50	           1	                     1	                              396	                                  396	                                18	                                          18	                                428	                                    428	                                  18	                                            18	
[MENU_331]-zh_Hans.po                 	             6	                 6	              1	                        1	         50	             50	           1	                     1	                              389	                                  389	                                17	                                          17	                                421	                                    421	                                  17	                                            17	
[MENU_332]-zh_Hans.po                 	            20	                20	             13	                       13	        130	            130	          81	                    81	                              864	                                  864	                               470	                                         470	                                962	                                    962	                                 537	                                           537	
[MENU_333]-zh_Hans.po                 	             8	                 8	              4	                        4	         47	             47	           9	                     9	                              396	                                  396	                                59	                                          59	                                421	                                    421	                                  61	                                            61	
[MENU_334]-zh_Hans.po                 	            10	                10	              6	                        6	         53	             53	          15	                    15	                              438	                                  438	                               101	                                         101	                                465	                                    465	                                 105	                                           105	
[MENU_335]-zh_Hans.po                 	             8	                 8	              2	                        2	         55	             55	           8	                     8	                              450	                                  450	                                50	                                          50	                                483	                                    483	                                  53	                                            53	
[MENU_336]-zh_Hans.po                 	            10	                10	              7	                        7	         55	             55	          20	                    20	                              456	                                  456	                               135	                                         135	                                489	                                    489	                                 147	                                           147	
[MENU_337]-zh_Hans.po                 	            14	                14	              7	                        7	         62	             62	          18	                    18	                              466	                                  466	                                92	                                          92	                                495	                                    495	                                  96	                                            96	
[MENU_338]-zh_Hans.po                 	            12	                12	              5	                        5	         60	             60	          16	                    16	                              451	                                  451	                                77	                                          77	                                482	                                    482	                                  83	                                            83	
[MENU_339]-zh_Hans.po                 	             9	                 9	              7	                        7	         60	             60	          26	                    26	                              449	                                  449	                               137	                                         137	                                484	                                    484	                                 151	                                           151	
[MENU_340]-zh_Hans.po                 	            34	                34	             26	                       26	        118	            118	          78	                    78	                              784	                                  784	                               439	                                         439	                                848	                                    848	                                 482	                                           482	
[MENU_341]-zh_Hans.po                 	            10	                10	              7	                        7	         55	             55	          19	                    19	                              422	                                  422	                                99	                                          99	                                452	                                    452	                                 107	                                           107	
[MENU_342]-zh_Hans.po                 	             5	                 5	              2	                        2	         43	             43	           7	                     7	                              365	                                  365	                                39	                                          39	                                391	                                    391	                                  43	                                            43	
[MENU_343]-zh_Hans.po                 	            20	                20	             13	                       13	        120	            120	          77	                    77	                              766	                                  766	                               409	                                         409	                                853	                                    853	                                 471	                                           471	
[MENU_344]-zh_Hans.po                 	             6	                 6	              4	                        4	         53	             53	          19	                    19	                              417	                                  417	                               105	                                         105	                                452	                                    452	                                 119	                                           119	
[MENU_345]-zh_Hans.po                 	            10	                10	              7	                        7	         65	             65	          29	                    29	                              483	                                  483	                               160	                                         160	                                525	                                    525	                                 180	                                           180	
[MENU_346]-zh_Hans.po                 	             5	                 5	              1	                        1	         48	             48	           2	                     2	                              402	                                  402	                                17	                                          17	                                433	                                    433	                                  17	                                            17	
[MENU_347]-zh_Hans.po                 	             6	                 6	              3	                        3	         51	             51	          15	                    15	                              410	                                  410	                                87	                                          87	                                443	                                    443	                                  98	                                            98	
[MENU_348]-zh_Hans.po                 	            16	                16	             13	                       13	        104	            104	          68	                    68	                              699	                                  699	                               376	                                         376	                                774	                                    774	                                 429	                                           429	
[MENU_349]-zh_Hans.po                 	            38	                38	             10	                       10	        112	            112	          24	                    24	                              650	                                  650	                               132	                                         132	                                713	                                    713	                                 146	                                           146	
[MENU_350]-zh_Hans.po                 	            11	                11	              1	                        1	         57	             57	           1	                     1	                              451	                                  451	                                 7	                                           7	                                486	                                    486	                                   7	                                             7	
[MENU_351]-zh_Hans.po                 	            35	                35	              2	                        2	        122	            122	           5	                     5	                              772	                                  772	                                35	                                          35	                                849	                                    849	                                  38	                                            38	
[MENU_352]-zh_Hans.po                 	            13	                13	             10	                       10	         93	             93	          57	                    57	                              670	                                  670	                               347	                                         347	                                735	                                    735	                                 390	                                           390	
[MENU_353]-zh_Hans.po                 	             9	                 9	              6	                        6	         54	             54	          18	                    18	                              442	                                  442	                               119	                                         119	                                476	                                    476	                                 131	                                           131	
